code,display_name,openalex_source_id,filename_slug,publisher,publisher_domains,title_aliases,collections,note_count,sample_note,updated
AJS,American Journal of Sociology,,american_journal_of_sociology,University of Chicago Press,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/michelson_2007_american_journal_of_sociology.md,2026-04-11
ASR,American Sociological Review,,american_sociological_review,SAGE Publications,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/michelson_2007_american_sociological_review.md,2026-04-11
CPCS,Communist and Post-Communist Studies,,communist_and_post_communist_studies,University of California Press,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/solomon_2010_communist_and_post_communist_studies.md,2026-04-11
EALR,East Asia Law Review,,east_asia_law_review,,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/goedde_2009_east_asia_law_review.md,2026-04-11
FLR,Fordham Law Review,,fordham_law_review,,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/carle_2001_fordham_law_review.md,2026-04-11
GSR,German Studies Review,,german_studies_review,JSTOR,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/jarausch_1986_german_studies_review.md,2026-04-11
IJLP,International Journal of the Legal Profession,,international_journal_of_the_legal_profession,Informa UK Limited,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/pearce_2012_international_journal_of_the_legal_profession.md,2026-04-11
JCPS,Journal of Chinese Political Science,,journal_of_chinese_political_science,Springer Science and Business Media LLC,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/feng_2026_journal_of_chinese_political_science.md,2026-04-11
JELS,Journal of Empirical Legal Studies,,journal_of_empirical_legal_studies,Wiley,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/yu_2022_journal_of_empirical_legal_studies.md,2026-04-11
JFQA,Journal of Financial and Quantitative Analysis,,journal_of_financial_and_quantitative_analysis,Cambridge University Press (CUP),,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/henderson_2025_journal_of_financial_and_quantitative_analysis.md,2026-04-11
JIE,Journal of Institutional Economics,,journal_of_institutional_economics,Cambridge University Press (CUP),,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/mike_2025_journal_of_institutional_economics.md,2026-04-11
JLEO,"Journal of Law, Economics, and Organization",,journal_of_law_economics_and_organization,Oxford University Press (OUP),,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/chemin_2012_journal_of_law_economics_and_organization.md,2026-04-11
JPR,Journal of Peace Research,,journal_of_peace_research,Oxford University Press (OUP),,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/sievert_2018_journal_of_peace_research.md,2026-04-11
LCLR,Lewis & Clark Law Review,,lewis_clark_law_review,Elsevier BV,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/libgober_2020_lewis_clark_law_review.md,2026-04-11
PAAM,Proceedings of the ASIL Annual Meeting,,proceedings_of_the_asil_annual_meeting,Cambridge University Press (CUP),,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/marks_2012_proceedings_of_the_asil_annual_meeting.md,2026-04-11
RG,Regulation & Governance,,regulation_governance,Wiley,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/erie_2026_regulation_governance.md,2026-04-11
SLS,Social & Legal Studies,,social_legal_studies,SAGE Publications,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/boukalas_2013_social_legal_studies.md,2026-04-11
SP,Social Problems,,social_problems,Oxford University Press (OUP),,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/michelson_2008_social_problems.md,2026-04-11
SS,Soviet Studies,,soviet_studies,Informa UK Limited,,,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/huskey_1988_soviet_studies.md,2026-04-11
AJCL,The American Journal of Comparative Law,,the_american_journal_of_comparative_law,Oxford University Press (OUP),,American Journal of Comparative Law,Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/wang_2025_the_american_journal_of_comparative_law.md,2026-04-11
JLEO,"The Journal of Law, Economics, and Organization",,the_journal_of_law_economics_and_organization,Oxford University Press (OUP),,"Journal of Law, Economics, and Organization",Lawyers and Courts,1,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Notes/Lawyers and Courts/aberra_2025_the_journal_of_law_economics_and_organization.md,2026-04-11
