collection,pdf_path,conflict_path,reason
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/chau_2025_ajps.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/chau_2024_ajps.pdf,cross_collection_exact_duplicate_with_notes
Bureaucracy,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Bureaucracy/chen_2016_ajps.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/chen_2015_ajps.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/chen_2019_aer.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/chen_2019_aer.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/hager_2022_apsr.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/hager_2021_apsr.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/huang_2015_bjps.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/huang_2015_bjps.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/kao_2026_apsr.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/kao_2026_apsr.pdf,cross_collection_exact_duplicate_with_notes
RCT,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/RCT/kao_2026_apsr.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/kao_2026_apsr.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/liu_2025_jeea.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/liu_2025_jeea.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/lorentzen_2013_ajps.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/lorentzen_2013_ajps.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/lu_2025_ajps.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/lu_2025_ajps.pdf,cross_collection_exact_duplicate_with_notes
Bureaucracy,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Bureaucracy/malesky_2010_apsr.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/malesky_2010_apsr.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/shen_2020_bjps.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/shen_2020_bjps.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/stockmann_2011_cps.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/stockmann_2011_cps.pdf,cross_collection_exact_duplicate_with_notes
Information,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Information/yang_2025_jop.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Authoritarianism/yang_2025_jop.pdf,cross_collection_exact_duplicate_with_notes
RCT,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/RCT/barcelo_2023_apsr.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Bureaucracy/barcelo_2024_apsr.pdf,cross_collection_exact_duplicate_with_notes
RCT,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/RCT/raffler_2022_apsr.pdf,/Users/ziwenzu/Library/CloudStorage/Dropbox/Literature/Bureaucracy/raffler_2022_apsr.pdf,cross_collection_exact_duplicate_with_notes
