downloaded,local_filename,journal,journal_code,publisher,title,authors,first_author,year,publication_date,doi,doi_url,openalex_id,volume,issue,first_page,last_page,landing_page_url,is_oa,oa_status,matched_terms,matched_fields,search_queries,discovery_strategies,metadata_sources,download_note,discipline,screening_decision,screening_note
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,Labor Market Returns to Vocational Secondary Education,Mikko Silliman; Hanna Virtanen,silliman,2021,2021-12-29,10.1257/app.20190782,https://doi.org/10.1257/app.20190782,https://openalex.org/W4205632086,14,1,197,224,https://doi.org/10.1257/app.20190782,True,bronze,regression discontinuity; regression discontinuity design,abstract,RDD; regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,The Origins of Common Identity: Evidence from Alsace-Lorraine,Sirus H. Dehdari; Kai Gehring,dehdari,2021,2021-12-29,10.1257/app.20190772,https://doi.org/10.1257/app.20190772,https://openalex.org/W4225559350,14,1,261,292,https://doi.org/10.1257/app.20190772,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,Health Insurance Design Meets Saving Incentives: Consumer Responses to Complex Contracts,Adam Leive,leive,2022,2022-03-30,10.1257/app.20200135,https://doi.org/10.1257/app.20200135,https://openalex.org/W4220970187,14,2,200,227,https://doi.org/10.1257/app.20200135,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,bibliographic; search,crossref; openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,Mental Health Costs of Lockdowns: Evidence from Age-Specific Curfews in Turkey,Onur Altındağ; Bilge Erten; Pinar Keskin,altndag,2022,2022-03-30,10.1257/app.20200811,https://doi.org/10.1257/app.20200811,https://openalex.org/W4226179405,14,2,320,343,https://doi.org/10.1257/app.20200811,True,bronze,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,Political Fragmentation and Government Stability: Evidence from Local Governments in Spain,Felipe Carozzi; Davide Cipullo; Luca Repetto,carozzi,2022,2022-03-30,10.1257/app.20200128,https://doi.org/10.1257/app.20200128,https://openalex.org/W3159623912,14,2,23,50,https://doi.org/10.1257/app.20200128,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,Will Studying Economics Make You Rich? A Regression Discontinuity Analysis of the Returns to College Major,Zachary Bleemer; Aashish Mehta,bleemer,2022,2022-03-30,10.1257/app.20200447,https://doi.org/10.1257/app.20200447,https://openalex.org/W4225926380,14,2,1,22,https://doi.org/10.1257/app.20200447,False,closed,regression discontinuity,title,regression discontinuity; regression discontinuity design,bibliographic; search; title_search,crossref; openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,High School Majors and Future Earnings,Gordon B. Dahl; Dan‐Olof Rooth; Anders Stenberg,dahl,2022,2022-12-30,10.1257/app.20210292,https://doi.org/10.1257/app.20210292,https://openalex.org/W4313410175,15,1,351,382,https://doi.org/10.1257/app.20210292,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,When Do Politicians Appeal Broadly? The Economic Consequences of Electoral Rules in Brazil,Moya Chin,chin,2023,2023-06-28,10.1257/app.20210529,https://doi.org/10.1257/app.20210529,https://openalex.org/W4382585149,15,3,183,209,https://doi.org/10.1257/app.20210529,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,Coordination and Bandwagon Effects: How Past Rankings Shape the Behavior of Voters and Candidates,Riako Granzier; Vincent Pons; Clémence Tricaud,granzier,2023,2023-09-28,10.1257/app.20210840,https://doi.org/10.1257/app.20210840,https://openalex.org/W4387133160,15,4,177,217,https://doi.org/10.1257/app.20210840,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,The Unintended Consequences of Test-Based Remediation,David Figlio; Umut Özek,figlio,2023,2023-12-27,10.1257/app.20210037,https://doi.org/10.1257/app.20210037,https://openalex.org/W4390291383,16,1,60,89,https://doi.org/10.1257/app.20210037,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,Distortion by Audit: Evidence from Public Procurement,María Paula Gerardino; Stephan Litschig; Dina Pomeranz,gerardino,2024,2024-09-26,10.1257/app.20220512,https://doi.org/10.1257/app.20220512,https://openalex.org/W3122831527,16,4,71,108,https://doi.org/10.1257/app.20220512,False,closed,regression discontinuity,abstract,regression discontinuity,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,The Simpler the Better? Threshold Effects of Energy Labels on Property Prices and Energy Efficiency Investments,Rodolfo Sejas‐Portillo; Mirko Moro; Till Stowasser,sejasportillo,2024,2024-12-31,10.1257/app.20220329,https://doi.org/10.1257/app.20220329,https://openalex.org/W4405921157,17,1,41,89,"http://eprints.gla.ac.uk/view/author/78656.html>,",True,green,regression discontinuity; regression discontinuity design,abstract,RDD; regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Applied Economics,aejapplied,American Economic Association,New Gig Work or Changes in Reporting? Understanding Self-Employment Trends in Tax Data,Andrew Garin; Emilie Jackson; Dmitri Koustas,garin,2025,2025-06-26,10.1257/app.20220483,https://doi.org/10.1257/app.20220483,https://openalex.org/W4411672045,17,3,236,270,https://doi.org/10.1257/app.20220483,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Does the Individual Mandate Affect Insurance Coverage? Evidence from Tax Returns,Ithai Z. Lurie; Daniel W. Sacks; Bradley T. Heim,lurie,2021,2021-04-30,10.1257/pol.20180619,https://doi.org/10.1257/pol.20180619,https://openalex.org/W3158091529,13,2,378,407,https://doi.org/10.1257/pol.20180619,False,closed,regression discontinuity,abstract,regression discontinuity,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Long-Term Contextual Effects in Education: Schools and Neighborhoods,Jean‐William Laliberté,laliberte,2021,2021-04-30,10.1257/pol.20190257,https://doi.org/10.1257/pol.20190257,https://openalex.org/W3168592551,13,2,336,377,https://doi.org/10.1257/pol.20190257,True,bronze,regression-discontinuity; regression-discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,School Spending and Student Outcomes: Evidence from Revenue Limit Elections in Wisconsin,Enrique Barón,baron,2022,2022-02-01,10.1257/pol.20200226,https://doi.org/10.1257/pol.20200226,https://openalex.org/W4226494150,14,1,1,39,https://doi.org/10.1257/pol.20200226,False,closed,regression discontinuity,abstract,regression discontinuity,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Political Parties Do Matter in US Cities … for Their Unfunded Pensions,Christian Dippel,dippel,2022,2022-07-29,10.1257/pol.20190480,https://doi.org/10.1257/pol.20190480,https://openalex.org/W4288683690,14,3,33,54,https://doi.org/10.1257/pol.20190480,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Gerrymandering in State Legislatures: Frictions from Axiomatic Bargaining,Hisam Sabouni; Cameron A. Shelton,sabouni,2022,2022-10-28,10.1257/pol.20190213,https://doi.org/10.1257/pol.20190213,https://openalex.org/W4307711423,14,4,519,542,https://doi.org/10.1257/pol.20190213,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Employed in a SNAP? The Impact of Work Requirements on Program Participation and Labor Supply,Colin Gray; Adam Leive; Elena Prager; Kelsey Pukelis; Mary Zaki,gray,2023,2023-01-31,10.1257/pol.20200561,https://doi.org/10.1257/pol.20200561,https://openalex.org/W3175684030,15,1,306,341,https://doi.org/10.1257/pol.20200561,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Health Effects of Increasing Income for the Elderly: Evidence from a Chilean Pension Program,Enrico Miglino; Nicolás Navarrete H.; Gonzalo Navarrete H.; Pablo Navarrete H.,miglino,2023,2023-01-31,10.1257/pol.20200076,https://doi.org/10.1257/pol.20200076,https://openalex.org/W4318620232,15,1,370,393,"https://openaccess.city.ac.uk/view/creators_id/nicolas=2Enavarrete-hernandez.html>,",True,green,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Voting for Democracy: Chile’s Plebiscito and the Electoral Participation of a Generation,Ethan Kaplan; Fernando Saltiel; Sergio Urzúa,kaplan,2023,2023-07-31,10.1257/pol.20210338,https://doi.org/10.1257/pol.20210338,https://openalex.org/W3181328147,15,3,438,464,http://dx.doi.org/10.1257/pol.20210338,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
